2,1,0.2454
5,1,0.1608
12,1,0.1538
14,1,0.1556
4,2,0.1756
12,2,0.1622
13,2,0.1628
16,2,0.2197
2,3,0.1965
6,3,0.226
9,3,0.217
20,3,0.1853
1,4,0.191
7,4,0.157
15,4,0.2434
20,4,0.1761
2,5,0.1825
12,5,0.159
17,5,0.1895
18,5,0.186
9,6,0.206
15,6,0.1925
16,6,0.2024
17,6,0.2491
13,7,0.136
15,7,0.1908
19,7,0.2409
20,7,0.1665
10,8,0.1758
11,8,0.2337
16,8,0.1829
20,8,0.1503
2,9,0.1902
5,9,0.2391
10,9,0.1952
19,9,0.1552
5,10,0.1806
8,10,0.2034
18,10,0.1918
19,10,0.1592
6,11,0.233
9,11,0.228
14,11,0.1661
17,11,0.1579
9,12,0.1724
10,12,0.1556
18,12,0.1588
20,12,0.1519
3,13,0.2243
9,13,0.1298
16,13,0.1709
19,13,0.2158
6,14,0.2196
10,14,0.2222
15,14,0.2387
19,14,0.1756
6,15,0.1373
7,15,0.2172
17,15,0.1783
19,15,0.1477
7,16,0.2175
12,16,0.1259
13,16,0.249
18,16,0.141
4,17,0.225
6,17,0.2092
7,17,0.2107
16,17,0.212
5,18,0.1817
8,18,0.1973
16,18,0.1252
20,18,0.2366
12,19,0.1675
13,19,0.2202
14,19,0.133
18,19,0.1723
4,20,0.2461
13,20,0.1977
16,20,0.1375
17,20,0.1458
